"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
1000,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.26239573847408,0.170092479405386,3.61022772121823,1.31123885848032,1.82516906005123,0.0845824371536476,2.6864166048237,1.6754576201592
1000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.15399146943242,0.148382734002744,1.43681254954252,1.10849076041029,1.03037112235826,0.117281013084828,0.944602072001281,1.72631666063838
1000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.709503659596997,0.0958960818752949,2.41790556280686,2.18454265338466,1.31330593625929,0.123123092281777,3.38522027964284,0.85976521687815
1000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.14632945517522,0.150485712761777,2.21073592334408,1.12087030580313,1.62150414358289,0.186961942263309,4.02504588567825,1.38659298390154
1000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.03834697653363,0.165509048474359,-0.0943451839488259,0.988337304155651,1.4780102168135,0.158707417826507,3.73803870363515,1.3491019182556
1000,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.71751816030467,0.133088782459834,1.20286186365999,3.49728723578029,3.14685628917158,0.108243532034159,3.83203905928029,1.59988957569764
2500,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.93926579532943,0.0689243751030115,3.18399250597962,1.11716467755987,1.29566265708064,0.0446060789648627,3.33376460997585,1.41911088162608
2500,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",0.0616957708633241,0.0472399945368826,0.997611605553584,1.78776964746308,1.82458519470694,0.123881382902746,3.76669925151488,2.72154213584351
2500,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.08092138324923,0.0431752776788224,1.3548740502167,0.941454273633992,2.00132260709278,0.0593378867858806,3.9518904292835,1.4672952937028
2500,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.19394726871339,0.094031945710185,3.21845455384951,1.13798014868602,3.6081547674333,0.101784536277949,2.72766798473268,2.20895053768492
