"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.22016375030196,0.0384415009297331,2.22057812305665,0.159279244098501,0.999578438844502,0.825035412510672,0.120880128538595,0.911990780292523
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.44658359032081,0.0407788031925684,2.38452015296166,0.190413359844324,0.999341561097385,0.841598415409772,0.0876036640431004,0.924302755802164
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.25008404349672,0.047450232725573,2.67651439451814,0.226521648456473,0.99407099669327,0.860152514938527,0.0818192344268094,0.923569671377597
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37315907097797,0.0470655665089905,2.6454505023421,0.212619617219023,0.998121734411325,0.849253137614101,0.128536717261755,0.907318896871434
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.50475126959188,0.0413547033361886,2.41066244650522,0.230193909671783,0.998415504075223,0.853969135994544,0.123266238155514,0.891224697800726
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.35712969657581,0.04264411034459,2.3668661592153,0.181720149047587,0.999888146618688,0.851261316100071,0.0771168982276294,0.91995253366807
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.42121204402224,0.047245318888277,2.31489191574386,0.268342384936517,0.998312833934106,0.847721434482042,0.0891233543429969,0.951371978239682
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.40437397431828,0.0519702642082087,2.50548105966621,0.305546241156162,0.999806481943948,0.858116828622397,0.11100536033666,0.908991819093808
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43460015643666,0.0452486577786038,2.44448633613117,0.235735589167389,0.998960483702024,0.881830243753422,0.105608099402437,0.926357607118271
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.71427257048923,0.0387281893253302,2.30870219779053,0.193053667578716,0.999700555878767,0.88059208074657,0.10496847662628,0.939503152511545
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.35043262595956,0.0427865184036022,2.36186636539009,0.16266847386455,0.999924272226862,0.822618950871982,0.112066552237512,0.911191980415702
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.38097521053619,0.03945545738489,2.54318384286405,0.164631810978338,0.99693370477419,0.864047834190282,0.100161022328945,0.92366296602964
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39335227628585,0.0403098107365853,2.54483139741296,0.184615506404111,0.999753090680649,0.872897028672886,0.0815680289819217,0.91341548577258
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.17801111925649,0.0384769510783585,2.50244745886165,0.15409732577435,0.998034736793972,0.824349159885553,0.129356483124781,0.952770176480182
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.56531583494883,0.0438419947020893,2.50861989665756,0.220523894218577,0.999845849562072,0.888916034256322,0.124653525524319,0.928388171571434
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39284520291466,0.0473262106010338,2.78468823769027,0.200571948870272,0.997424292731667,0.838790152972306,0.11928692106617,0.914272570639172
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.20977588746701,0.0450783753083071,2.53542494399546,0.221848982540024,0.994744856648243,0.877692048719231,0.15453047038081,0.905232593353339
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37466432824178,0.0408223523757881,2.3998401148903,0.169167760597706,0.99961651130856,0.839459110907984,0.100751971422307,0.907071060370204
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32252526939186,0.0508680805909703,2.38143695649591,0.257418075555973,0.997625328802881,0.872886413178485,0.144877181711284,0.925750384498569
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.29611212039312,0.0426892551339364,2.91574694307654,0.245599055674681,0.9970550244656,0.873200224617451,0.0709623966506385,0.929130506541905
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.18699230744725,0.0519084659007558,2.84835728664984,0.264406372645068,0.999661669973948,0.863447364928936,0.102895665060027,0.922026729858296
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.27161485121662,0.0509207654264301,2.72121366689448,0.2257534756181,0.999919117670657,0.843713940958709,0.085084144369301,0.903201454826367
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.14407530458725,0.0430325595685187,2.51870557672169,0.183882587482706,0.998331805067357,0.847144314937618,0.0999274791300855,0.923627096079214
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.42590869206287,0.0439655770159425,2.54747626333011,0.192613589184856,0.999859927214891,0.830888302500951,0.115682083867305,0.935410942398923
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.45195578469899,0.0450797217406385,2.48282915710033,0.221542129183463,0.999500737022167,0.87555948003345,0.102226890919166,0.909165637428824
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.22216784338313,0.0415306838257198,2.41595592208173,0.187423785321914,0.998406097701119,0.837486594742075,0.096065732190248,0.91813518504689
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,1.92442098279592,0.0525500205596599,2.39906495761595,0.324896139121985,0.996090478126356,0.879733698716147,0.105157831739167,0.947224018221217
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.53458514869352,0.0416750122123645,2.6610678375431,0.19561090996924,0.999907610515894,0.877000894701804,0.0801171687459071,0.936714070914747
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.65133598924839,0.0432093089977891,2.79307140795868,0.172665458027422,0.99975045679899,0.869518249924435,0.134797233548377,0.918026335602651
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32885340779055,0.0417628996022704,2.41005827761181,0.161896960648327,0.996357370143738,0.845180845212395,0.124982021060006,0.900553003344026
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.33876073001609,0.0478170841644739,2.39405018918878,0.197079874964624,0.99957003905554,0.836502942076034,0.150161801228729,0.910561813065852
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43395835817203,0.0533376310565792,2.68618119309186,0.300892659028483,0.998256352363973,0.872879094913176,0.111893208248316,0.930536732957553
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39123233892151,0.0417112395477401,2.21582795007969,0.191372583238082,0.999890118799647,0.858192777510024,0.124607480987617,0.93314457043863
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39139729738794,0.0397774238305403,2.45229684860989,0.166060484679981,0.997758602437711,0.87809447331673,0.13558780622889,0.932171292989944
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.53783935061678,0.043681540149722,2.59409273235876,0.17583159105545,0.999903430395104,0.869468447517362,0.117072513656144,0.92821113324164
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37462219713038,0.0441101128907597,2.60117776151366,0.18150908687334,0.999914539398156,0.87124935338794,0.118297173693222,0.90667232248519
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.49156343538913,0.044670990823978,2.65802470820547,0.208747741951658,0.999626752432988,0.870311756511717,0.0755250937783055,0.924172820076213
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.27859702575296,0.0468595414019394,2.39825977133404,0.220085546240367,0.9985301674986,0.859458770207316,0.137425329640739,0.945765466365531
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.45034334159856,0.0436577595939558,2.59760019883574,0.199858860974426,0.999760842512265,0.829427830982389,0.0844430337603053,0.93093006869334
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.29539113559404,0.0469582959543194,2.43588581277051,0.23520333964529,0.998165169368146,0.844466043284552,0.113014478546013,0.968808783398524
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.30367850335312,0.0440240282940607,2.40292259083057,0.19337033576587,0.999547279030476,0.816585287857032,0.108636931622842,0.931749345801927
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.35097654042949,0.0460026322901757,2.75587174181943,0.238891505930579,0.998854837328592,0.84165465506309,0.106377717756671,0.944530424341869
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.22611806818215,0.0429499995072969,2.46071069108639,0.191197269695676,0.999819532599754,0.84290422570893,0.0919910306850513,0.927081790361476
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43852635052744,0.0425474151418525,2.32848174205157,0.239919244987822,0.998375425224886,0.860320398127824,0.124194522459967,0.920904862064007
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.35359022157411,0.0329470783590279,2.38584639327327,0.138233814339229,0.998124037343596,0.82254490991392,0.128733493737098,0.924938577091076
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.28433581141713,0.0470324058996598,2.38316693362401,0.223244787906922,0.999577101603513,0.86324561707803,0.105003157769802,0.92735487736943
