"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.4653626864946,0.0580131506145567,3.20943367295059,0.326326373244586,2.0982704297162,0.038068088535393,1.79543308160666,0.571240068186499
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.50652807532199,0.048810304529316,2.57874230121516,0.235558580679974,3.05909961143008,0.317966351923614,12.0368660932464,9.38432764047219
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.72193789112157,0.0846389534174616,2.32264479688702,0.611264375993701,2.29283268423793,0.0510189497056791,1.66897729208514,0.630770324937623
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.10093878534932,0.0267692576907774,2.49194351794673,0.74367629104389,1.47571047350043,0.0394925296032022,1.49339087959217,0.455575520826317
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.55947352386513,0.0332305058084331,2.04638065691852,0.426662230529922,2.37310134541415,0.0468017517817663,2.54484334987495,0.737692789481316
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.44410783431542,0.167344075007408,4.63880841541876,1.78199994531607,1.54270357968936,0.0748157859007548,1.85508889460378,0.703289270489165
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.75178335920798,0.179479845494305,-5.57561330707364,6.849332248309,2.21530391604034,0.0509201455004881,0.943132672266441,1.60784324246341
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.65081347082485,0.0392003724385417,3.28758536575925,0.472503692504543,2.53153064535607,0.082129851628292,2.51088108785989,0.874575407618037
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.44162062983579,0.058791081506699,2.62142956629059,0.236687375236883,2.83886918017826,0.214123998034568,4.60247654367612,0.745204368944417
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.21113438177421,0.0468314385872917,2.57617661425266,0.271248815572843,1.76556851876346,0.0522857200836133,1.42705987705829,0.766109236671536
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.61912765410828,0.0445792993291559,3.13750525174445,0.475059493431276,2.78673583162515,0.0482289076904658,4.04251921744338,0.60435409594065
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.89510688203629,0.0712823756119562,1.71599455641368,0.882625675063589,2.41025254581488,0.117947995373681,1.49878063598286,0.868419692051704
