"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.41061913147643,0.0403744307867476,2.73323456236903,0.180847129976206,0.99867600834524,0.846783782177426,0.115248579098675,0.914353520978604
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.28186824472389,0.0465778322392101,2.61490868596129,0.227130430588011,0.999277054818763,0.868851152852693,0.0931559614331571,0.900309908451511
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.24275736409758,0.0457966645314774,2.4194942460781,0.216820815589271,0.997236015832001,0.830903758524879,0.114053751148012,0.922622916631112
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.36370646327879,0.0456239177627367,2.58624023608732,0.225299135477625,0.995429151826032,0.86647245438131,0.130883922837469,0.939382437862023
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.26754024655531,0.0411988450727607,2.54490188533957,0.188676358720004,0.999774732003426,0.845389480435072,0.116653536576977,0.909409806452109
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32965800527106,0.0404754070664377,2.58448585677668,0.19281571265243,0.999146642844981,0.832759658823468,0.11726918614936,0.925981798547144
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.23367631829172,0.0457870010836525,2.69751067949634,0.216837738262568,0.999409829651389,0.854129480360279,0.109417743140568,0.924527752524189
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.45896257807503,0.0469593305132143,2.70415362960274,0.210761491855163,0.997838222629125,0.837961462461997,0.0931811603139171,0.897483771632907
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.55999950101911,0.0381453874441953,2.54292893508639,0.170194494217619,0.997744683003942,0.825775687204773,0.113668170505682,0.925241688315962
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.10985607904376,0.046155951817518,2.34138402687875,0.215377110935925,0.995976422147527,0.859828135463068,0.104439272751296,0.913980936937788
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32628522924519,0.0501516495963144,2.96504845796632,0.266749552163222,0.996444208001865,0.916983958703867,0.103749125039296,0.905947619916117
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.26435426560144,0.0523473573081529,2.38827629506887,0.211417196576635,0.999874042592599,0.885888169045595,0.0740916915113174,0.937379646446201
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.41406648956582,0.0481674680126569,2.33135999238003,0.251394473095198,0.99572112230057,0.878686040690818,0.106092183407735,0.898607650675249
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.30262415128611,0.0466104954670876,2.09011065936235,0.22484685745448,0.99979417194663,0.855438039267402,0.0705888308724969,0.917968238470014
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.4681942755154,0.0448257937443337,2.54200181974454,0.226674711945294,0.999890123719022,0.852250855356408,0.0942068451743274,0.921260318661089
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.41246377023348,0.039211432254039,2.50757901228449,0.175806583886075,0.999805550515305,0.851031463849178,0.12756409822916,0.91707080442206
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.51631137658494,0.038122483434461,2.48154081259202,0.168987123894257,0.997440657363521,0.83833555789464,0.112894043335178,0.92123703271062
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.27243240387562,0.0441520005035412,2.67003420376169,0.196652702276794,0.999812347704555,0.85360377061645,0.106110626157811,0.934945959700916
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39763441827599,0.0481616506763914,2.61264916266124,0.229407769183826,0.996754130291582,0.877930467062658,0.0929364423454242,0.913595833434309
