"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.22833648067904,0.0405608876678167,2.39911460157911,0.164384622320804,0.998237474827996,0.849464255735478,0.108535022572403,0.910905111760767
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.47617100416766,0.0425604922974692,2.42201818643627,0.253890933644917,0.999467464076685,0.868978037195512,0.113996873204328,0.90864940387964
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39415749756813,0.0498365413827683,2.67712611595667,0.251111668435466,0.998670996169641,0.863995062688477,0.128262203151407,0.906210659088223
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43544003720304,0.0402257946772736,2.52351390861059,0.16699051368681,0.999149945341519,0.864463898709865,0.119789877279007,0.894437751238101
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.10856687971793,0.0455058838937917,2.61725705725934,0.206918144870987,0.995551491766997,0.848818970435554,0.114227573707159,0.913445482690875
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.2680224612644,0.0430595827086867,2.32365847052324,0.249094796163191,0.996908383357934,0.880020346951835,0.108336380704035,0.919100299175884
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.32712811123819,0.046587154519389,2.61517957391131,0.213958143634818,0.996034410460577,0.860855348396368,0.11126069156204,0.920222327412933
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.31567025767338,0.0430060825277614,2.69539862917287,0.214857839050939,0.999259230686644,0.850603869264518,0.127720951887674,0.922981077578601
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39367743690505,0.0436261013899455,2.62766385191408,0.213070060824364,0.999951692572242,0.87568271924016,0.109264564261295,0.934329080179922
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.48082456492017,0.0368107326245091,2.65594163513653,0.194352161887799,0.998044154255915,0.839318011007543,0.117475191965666,0.935532611011859
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.51737013340188,0.0458386082286089,2.8292813992883,0.225857925948538,0.999515523107419,0.884196525905026,0.0819867519090212,0.919212870510372
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.4927678340707,0.0475702437421336,2.21911590488255,0.25045776231557,0.999775563198108,0.87669714584053,0.102002831626895,0.897486985283657
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.50412428010859,0.0406840617683166,2.44423538506954,0.18058753512898,0.999741711886584,0.830742929045994,0.108843448856709,0.934655957304797
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43063035082423,0.0466556012655952,2.73420516081371,0.230794693894783,0.997749673731415,0.855435721933396,0.114130570193365,0.947286437354591
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.3882544449389,0.0447638933262722,2.43755415992158,0.202762818382216,0.995754504892139,0.857502189399226,0.140817663735978,0.923593406754916
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.44599981677501,0.0513624341865012,2.52407197459267,0.341117553823032,0.998521761037997,0.872464457005052,0.093699893517006,0.929276708624003
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.50128204430975,0.0499768997951632,2.15954321131055,0.297893148787841,0.99967296590699,0.883940262077814,0.0657688642614009,0.924689432754843
